School,longitude,latitude,SentimentValues
University of Colorado Boulder,-105.2659417,40.007581,0.514715268
University of San Diego,-117.1900103,32.7715337,0.565983441
University of Alabama,-87.5391418,33.2140233,0.482318098
Drexel University,-75.1899441,39.9566127,0.5802724
Loyola University Chicago,-87.6576267,41.9985732,0.569441034
University at Buffalo SUNY,-78.815918,42.9538627,0.430495645
University of Missouri,-92.3277375,38.9403808,0.573616924
University of New Hampshire,-70.9370252,43.138948,0.533278784
Clarkson University,-74.999495,44.6627128,0.555104794
Duquesne University,-79.9914615,40.4372706,0.516550757
University of California Riverside,-117.3280644,33.9737055,0.428999017
University at Albany SUNY,-73.822852,42.686744,0.463149319
University of Arkansas,-94.1736551,36.0678324,0.503747746
University of Kentucky,-84.5039697,38.0306511,0.634661968
George Mason University,-77.3073537,38.8309353,0.570411763
Hofstra University,-73.5974371,40.7178645,0.57100141
Howard University,-77.0194377,38.9226843,0.650402198
Oregon State University,-123.2794442,44.5637806,0.619178686
University of Texas Austin,-97.7277262,30.2878975,0.395241455
Michigan State University,-84.4821719,42.701848,0.542573465
University of Massachusetts Amherst,-72.5267121,42.3911569,0.389261661
Miami University Oxford,-84.7308768,39.5105334,0.44516167
University of California Santa Cruz,-122.0608718,36.9913856,0.4817545
University of Denver,-104.9618965,39.6766174,0.548677334
University of Tulsa,-95.9451387,36.1510134,0.367321321
North Carolina State University Raleigh,-78.6820946,35.7846633,0.449997344
University of Nebraska Lincoln,-96.7012424,40.7895543,0.451288315
University of Oregon,-123.0726055,44.0448302,0.531828192
University of Utah,-111.8421021,40.7649368,0.499810538
University of Cincinnati,-84.4804653,39.1295338,0.474587393
University of Illinois Chicago,-87.6579606,41.874994,0.545155709
University of South Carolina,-81.0274276,33.996112,0.554203751
University of the Pacific,-121.3101096,37.9804693,0.517822292
