Name,Latitude,Longitude,Date,DayOfYear
IMG_2292.JPG,,,NaN,NaN
IMG_2458.JPG,55.6781,12.565050000000001,1433439833000,155
IMG_2478.JPG,55.67505277777777,12.568783333333332,1433440292000,155
IMG_2693.JPG,34.53044166666667,-84.91954166666667,1455906913000,50
IMG_2303.JPG,60.139202777777776,24.98988611111111,1433255164000,153
IMG_1768.JPG,42.76520555555555,-71.43995555555556,1453480091000,22
IMG_2699.JPG,39.258811111111115,-84.34033333333333,1455928731000,50
IMG_2367.JPG,33.77538333333333,-84.39670555555556,1455145375000,41
IMG_1847.JPG,59.942455555555554,30.334755555555553,1433182824000,152
IMG_2034.JPG,33.75811111111111,-84.39457777777778,1469986135000,213
IMG_2556.JPG,33.79116388888889,-84.3930138888889,1455406383000,44
IMG_2119.JPG,33.77683611111111,-84.38976944444445,1470946488000,224
IMG_1661.JPG,33.74648611111111,-84.3734361111111,1469974328000,213
IMG_2146.JPG,33.84861111111111,-84.36370833333332,1471786925000,234
IMG_2567.JPG,33.788688888888885,-84.39483611111112,1455433098000,45
IMG_2277.JPG,33.77743888888889,-84.39091388888889,1455047692000,40
IMG_2599.JPG,33.78895277777777,-84.39487500000001,1455638979000,47
IMG_2600.JPG,55.686099999999996,12.577302777777778,1433443375000,155
IMG_2622.JPG,55.68578333333333,12.577094444444445,1433443863000,155
IMG_2467.JPG,33.776808333333335,-84.38876388888889,1470874301000,223
IMG_2516.JPG,33.761383333333335,-84.39356111111111,1469985600000,213
IMG_2783.JPG,55.687,12.58631388888889,1433448499000,155
IMG_2542.JPG,55.681266666666666,12.568249999999999,1433441626000,155
IMG_2028.JPG,33.77412777777778,-84.398475,1454433111000,33
IMG_1782.JPG,42.804230555555556,-71.48925833333334,1453501926000,22
IMG_2703.JPG,39.26179166666667,-84.32303611111111,1455934666000,50
IMG_2546.JPG,55.68223888888889,12.567902777777778,1433441752000,155
IMG_2557.JPG,33.83761944444445,-84.38054722222222,1455407832000,44
IMG_2559.JPG,33.83782222222222,-84.38087499999999,1455409867000,44
IMG_2708.JPG,39.099869444444444,-84.51673888888888,1455984297000,51
IMG_2714.JPG,39.099869444444444,-84.51673888888888,1455986193000,51
IMG_2565.JPG,33.95708888888889,-84.35560555555556,1470261450000,216
IMG_2192.JPG,60.14431388888889,24.985947222222222,1433252332000,153
IMG_2392.JPG,60.16762222222222,24.955991666666666,1433265369000,153
IMG_2570.JPG,33.769108333333335,-84.39086944444445,1455465188000,45
IMG_2744.JPG,,,1456077365000,52
IMG_2596.JPG,33.788475,-84.3946138888889,1455592684000,46
IMG_2751-.JPG,55.68559722222222,12.578063888888888,1433447731000,155
IMG_2700.JPG,,,NaN,NaN
IMG_2755.JPG,55.68571111111111,12.576555555555556,1433447799000,155
IMG_2689.JPG,39.26188333333333,-84.3228,1462727372000,129
IMG_2701.JPG,,,NaN,NaN
IMG_2524.JPG,33.77504444444445,-84.39703333333334,1455296045000,43
IMG_2707.JPG,39.23778055555556,-84.3519361111111,1455974738000,51
IMG_2515.JPG,33.849586111111115,-84.3628611111111,1471788372000,234
IMG_2345.JPG,60.14676388888889,24.987208333333335,1433256363000,153
IMG_2800.JPG,33.788802777777775,-84.3946138888889,1456383026000,56
IMG_2809.JPG,33.63874166666667,-84.44044444444445,1456426893000,56
IMG_2810.JPG,33.63579166666667,-84.40969166666667,1456427541000,56
IMG_2995.JPG,55.69274444444444,12.595102777777779,1433453704000,155
IMG_2709.JPG,39.099869444444444,-84.51673888888888,1455984589000,51
IMG_2710.JPG,39.099869444444444,-84.51673888888888,1455985294000,51
IMG_2711.JPG,39.099869444444444,-84.51673888888888,1455985336000,51
IMG_2181.JPG,33.848908333333334,-84.36353333333332,1471788012000,234
IMG_2815.JPG,,,1456429904000,56
IMG_2429.JPG,33.774005555555554,-84.39812500000001,1455221313000,42
IMG_2577.JPG,33.769016666666666,-84.3909388888889,1455468744000,45
IMG_2576.JPG,33.76896388888889,-84.39106666666667,1455468526000,45
IMG_2819.JPG,26.10931111111111,-80.562325,1456432091000,56
IMG_2818.JPG,26.831463888888887,-81.95912222222222,1456431575000,56
IMG_2820.JPG,26.118725,-80.46699444444445,1456432171000,56
IMG_2823.JPG,26.151694444444445,-80.08675277777778,1456432481000,56
IMG_2430.JPG,33.774033333333335,-84.3982,1455221323000,42
IMG_2727.JPG,39.104600000000005,-84.5139,1455999439000,51
IMG_2729.JPG,39.26191388888889,-84.32278333333333,1456012347000,51
IMG_2752.JPG,33.79502222222222,-84.41002777777778,1456184463000,53
IMG_1966.JPG,33.77311666666667,-84.395425,1454094307000,29
IMG_2751.JPG,33.79506388888889,-84.41046944444444,1456182965000,53
IMG_2814.JPG,,,1456429858000,56
IMG_2721.JPG,39.10039166666667,-84.516425,1455997948000,51
IMG_2864.JPG,33.83701388888889,-84.37875277777778,1468015045000,190
IMG_2999.JPG,55.692677777777774,12.594975,1433453736000,155
IMG_2719.JPG,39.099869444444444,-84.51673888888888,1455997815000,51
IMG_2828.JPG,26.072669444444443,-80.14293611111111,1456435428000,56
IMG_2824.JPG,26.076933333333333,-80.10723888888889,1456433143000,56
IMG_2728.JPG,39.100455555555556,-84.51638888888888,1455999451000,51
IMG_2726.JPG,39.104600000000005,-84.5139,1455999396000,51
IMG_2569.JPG,,,NaN,NaN
IMG_2874.JPG,33.762925,-84.39264722222222,1469984122000,213
IMG_2942.JPG,55.69043055555555,12.59725277777778,1433452944000,155
